"x","job","season","strategy","process"
"0.54","Job-4","Season-2","Strategy-1","Process-3"
"0.62","Job-4","Season-2","Strategy-1","Process-3"
"0.12","Job-3","Season-2","Strategy-1","Process-3"
"0.12","Job-3","Season-2","Strategy-1","Process-3"
"0.34","Job-4","Season-2","Strategy-1","Process-3"
"0.22","Job-3","Season-2","Strategy-1","Process-3"
"0.43","Job-4","Season-2","Strategy-1","Process-3"
"0.67","Job-3","Season-1","Strategy-1","Process-3"
"1.4","Job-3","Season-1","Strategy-1","Process-3"
"0.88","Job-4","Season-4","Strategy-1","Process-3"
"0.91","Job-4","Season-4","Strategy-1","Process-3"
"0.19","Job-4","Season-2","Strategy-1","Process-3"
"<0.1","Job-3","Season-2","Strategy-1","Process-2"
"0.12","Job-3","Season-2","Strategy-1","Process-2"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"0.41","Job-3","Season-3","Strategy-1","Process-3"
"0.3","Job-3","Season-1","Strategy-1","Process-3"
"0.53","Job-4","Season-1","Strategy-1","Process-3"
"0.34","Job-3","Season-1","Strategy-1","Process-3"
"0.2","Job-4","Season-1","Strategy-1","Process-3"
"0.17","Job-2","Season-3","Strategy-1","Process-1"
"0.26","Job-3","Season-3","Strategy-1","Process-1"
"0.06","Job-2","Season-4","Strategy-1","Process-1"
"0.13","Job-2","Season-4","Strategy-1","Process-1"
"0.29","Job-3","Season-4","Strategy-1","Process-1"
"0.07","Job-2","Season-4","Strategy-1","Process-1"
"0.15","Job-3","Season-4","Strategy-1","Process-1"
"0.03","Job-2","Season-4","Strategy-1","Process-1"
"0.07","Job-3","Season-4","Strategy-1","Process-1"
"0.05","Job-2","Season-4","Strategy-1","Process-1"
"0.09","Job-2","Season-4","Strategy-1","Process-1"
"0.37","Job-3","Season-1","Strategy-1","Process-1"
"0.4","Job-3","Season-1","Strategy-1","Process-1"
"0.2","Job-3","Season-1","Strategy-1","Process-1"
"0.24","Job-3","Season-1","Strategy-1","Process-1"
"0.26","Job-3","Season-1","Strategy-1","Process-1"
"0.31","Job-3","Season-1","Strategy-1","Process-1"
"0.36","Job-3","Season-1","Strategy-1","Process-1"
"0.18","Job-3","Season-1","Strategy-1","Process-1"
"0.16","Job-2","Season-1","Strategy-1","Process-1"
"0.22","Job-3","Season-1","Strategy-1","Process-1"
"0.26","Job-3","Season-1","Strategy-1","Process-1"
"0.29","Job-3","Season-1","Strategy-1","Process-1"
"0.31","Job-3","Season-1","Strategy-1","Process-1"
"0.33","Job-3","Season-1","Strategy-1","Process-1"
"1.07","Job-3","Season-1","Strategy-1","Process-1"
"0.1","Job-2","Season-3","Strategy-1","Process-3"
"0.11","Job-2","Season-3","Strategy-1","Process-3"
"0.29","Job-3","Season-3","Strategy-1","Process-3"
"0.23","Job-3","Season-3","Strategy-1","Process-1"
"0.39","Job-3","Season-3","Strategy-1","Process-1"
